Variable,Importance
B04_2023-10-08,0.07172819177771728
B03_2023-10-08,0.061515000118800546
B12_2023-10-08,0.0569731600143586
B07_2024-01-19,0.05667776261989502
B11_2023-10-08,0.05489457028394181
B8A_2024-01-19,0.054533874115581894
B06_2024-01-19,0.049926560440573135
B05_2024-07-19,0.04790700312742165
B03_2024-07-19,0.044254352924032944
B07_2024-03-20,0.04319510734447022
B04_2024-03-20,0.03927207021624584
B08_2024-03-20,0.03175515797205511
B12_2024-07-19,0.02950888611392522
B05_2023-10-08,0.028923830130965097
B07_2023-10-08,0.02518865789765961
B08_2024-01-19,0.02458706314743604
B11_2024-07-19,0.024117114930405203
B06_2024-03-20,0.02355774836426673
B8A_2024-03-20,0.022948428186503143
B06_2023-10-08,0.021322618202043682
B11_2024-03-20,0.020312231002167065
B08_2023-10-08,0.015669888366530684
B8A_2023-10-08,0.014820880257095393
B04_2024-07-19,0.013051645422532893
B05_2024-03-20,0.012814833480004523
B12_2024-03-20,0.012307181511334395
B04_2024-01-19,0.008034592499297262
B11_2024-01-19,0.006940492187392907
B07_2024-05-15,0.006089131646198814
B05_2024-01-19,0.005997706480504958
B06_2024-07-19,0.005877756782762196
B06_2024-05-15,0.0056947441324194225
B11_2024-05-15,0.005390324253762404
B03_2024-03-20,0.005327975573956923
B04_2024-05-15,0.005244042184488185
B12_2024-01-19,0.0049440103848971285
B05_2024-05-15,0.004827887138147629
B07_2024-07-19,0.004612724085139479
B08_2024-05-15,0.004582836429545495
B8A_2024-05-15,0.004530487802062721
B8A_2024-07-19,0.004461991072080481
B12_2024-05-15,0.004385583862179112
B03_2024-01-19,0.004047190006837839
B03_2024-05-15,0.003999972501554954
B08_2024-07-19,0.003246733008808411
